Block,Treatment,Plant,Leaf,FvFm,Day,,,
1,NA,1,1,0.698,1,,,
1,NA,1,2,0.714,1,,,
1,NA,1,3,0.658,1,,,
1,NA,2,1,0.823,1,,,
1,NA,2,2,0.773,1,,,
1,NA,2,3,0.755,1,,,
1,NA,3,1,0.731,1,,,
1,NA,3,2,0.748,1,,,
1,NA,3,3,0.7,1,,,
1,NA,4,1,0.746,1,,,
1,NA,4,2,0.744,1,,,
1,NA,4,3,0.704,1,,,
1,NA,5,1,0.755,1,,,
1,NA,5,2,0.775,1,,,
1,NA,5,3,0.699,1,,,
1,NA,6,1,0.743,1,,,
1,NA,6,2,0.695,1,,,
1,NA,6,3,0.705,1,,,
1,NA,7,1,0.693,1,,,
1,NA,7,2,0.674,1,,,
1,NA,7,3,0.684,1,,,
1,NA,8,1,0.683,1,,,
1,NA,8,2,0.728,1,,,
1,NA,8,3,0.65,1,,,
1,NA,9,1,0.701,1,,,
1,NA,9,2,0.661,1,,,
1,NA,9,3,0.732,1,,,
1,NA,10,1,0.731,1,,,
1,NA,10,2,0.741,1,,,
1,NA,10,3,0.679,1,,,
1,LA,1,1,0.737,1,,,
1,LA,1,2,0.743,1,,,
1,LA,1,3,0.746,1,,,
1,LA,2,1,0.728,1,,,
1,LA,2,2,0.754,1,,,
1,LA,2,3,0.73,1,,,
1,LA,3,1,0.724,1,,,
1,LA,3,2,0.709,1,,,
1,LA,3,3,0.628,1,,,
1,LA,4,1,0.772,1,,,
1,LA,4,2,0.745,1,,,
1,LA,4,3,0.78,1,,,
1,LA,5,1,0.797,1,,,
1,LA,5,2,0.789,1,,,
1,LA,5,3,0.792,1,,,
1,LA,6,1,0.78,1,,,
1,LA,6,2,0.77,1,,,
1,LA,6,3,0.774,1,,,0
1,LA,7,1,0.76,1,,,
1,LA,7,2,0.69,1,,,
1,LA,7,3,0.802,1,,,
1,LA,8,1,0.661,1,,,
1,LA,8,2,0.74,1,,,
1,LA,8,3,0.755,1,,,
1,LA,9,1,0.781,1,,,
1,LA,9,2,0.775,1,,,
1,LA,9,3,0.773,1,,,
1,LA,10,1,0.803,1,,,
1,LA,10,2,0.708,1,,,
1,LA,10,3,0.787,1,,,
1,CE,1,1,0.692,1,,,
1,CE,1,2,0.675,1,,,
1,CE,1,3,0.622,1,,,
1,CE,2,1,0.702,1,,,
1,CE,2,2,0.64,1,,,
1,CE,2,3,0.612,1,,,
1,CE,3,1,0.634,1,,,
1,CE,3,2,0.648,1,,,
1,CE,3,3,0.669,1,,,
1,CE,4,1,0.704,1,,,
1,CE,4,2,0.678,1,,,
1,CE,4,3,0.692,1,,,
1,CE,5,1,0.72,1,,,
1,CE,5,2,0.714,1,,,
1,CE,5,3,0.718,1,,,
1,CE,6,1,0.755,1,,,
1,CE,6,2,0.604,1,,,
1,CE,6,3,0.72,1,,,
1,CE,7,1,0.737,1,,,
1,CE,7,2,0.704,1,,,
1,CE,7,3,0.765,1,,,
1,CE,8,1,0.78,1,,,
1,CE,8,2,0.785,1,,,
1,CE,8,3,0.767,1,,,
1,CE,9,1,0.764,1,,,
1,CE,9,2,0.78,1,,,
1,CE,9,3,0.767,1,,,
1,CE,10,1,0.704,1,,,
1,CE,10,2,0.639,1,,,
1,CE,10,3,0.755,1,,,
1,RE,1,1,0.768,1,,,
1,RE,1,2,0.729,1,,,
1,RE,1,3,0.766,1,,,
1,RE,2,1,0.783,1,,,
1,RE,2,2,0.782,1,,,
1,RE,2,3,0.759,1,,,
1,RE,3,1,0.759,1,,,
1,RE,3,2,0.771,1,,,
1,RE,3,3,0.739,1,,,
1,RE,4,1,0.78,1,,,
1,RE,4,2,0.792,1,,,
1,RE,4,3,0.786,1,,,
1,RE,5,1,0.787,1,,,
1,RE,5,2,0.771,1,,,
1,RE,5,3,0.727,1,,,
1,RE,6,1,0.77,1,,,
1,RE,6,2,0.591,1,,,
1,RE,6,3,0.649,1,,,
1,RE,7,1,0.643,1,,,
1,RE,7,2,0.667,1,,,
1,RE,7,3,0.735,1,,,
1,RE,8,1,0.759,1,,,
1,RE,8,2,0.718,1,,,
1,RE,8,3,0.707,1,,,
1,RE,9,1,0.734,1,,,
1,RE,9,2,0.746,1,,,
1,RE,9,3,0.724,1,,,
1,RE,10,1,0.74,1,,,
1,RE,10,2,0.742,1,,,
1,RE,10,3,0.711,1,,,
2,NA,1,1,0.819,1,,,
2,NA,1,2,0.806,1,,,
2,NA,1,3,0.791,1,,,
2,NA,2,1,0.772,1,,,
2,NA,2,2,0.769,1,,,
2,NA,2,3,0.794,1,,,
2,NA,3,1,0.775,1,,,
2,NA,3,2,0.754,1,,,
2,NA,3,3,0.754,1,,,
2,NA,4,1,0.726,1,,,
2,NA,4,2,0.762,1,,,
2,NA,4,3,0.761,1,,,
2,NA,5,1,0.772,1,,,
2,NA,5,2,0.725,1,,,
2,NA,5,3,0.698,1,,,
2,NA,6,1,0.764,1,,,
2,NA,6,2,0.783,1,,,
2,NA,6,3,0.795,1,,,
2,NA,7,1,0.771,1,,,
2,NA,7,2,0.786,1,,,
2,NA,7,3,0.783,1,,,
2,NA,8,1,0.791,1,,,
2,NA,8,2,0.757,1,,,
2,NA,8,3,0.779,1,,,
2,NA,9,1,0.789,1,,,
2,NA,9,2,0.79,1,,,
2,NA,9,3,0.753,1,,,
2,NA,10,1,0.772,1,,,
2,NA,10,2,0.765,1,,,
2,NA,10,3,0.772,1,,,
2,LA,1,1,0.737,1,,,
2,LA,1,2,0.724,1,,,
2,LA,1,3,0.729,1,,,
2,LA,2,1,0.724,1,,,
2,LA,2,2,0.746,1,,,
2,LA,2,3,0.736,1,,,
2,LA,3,1,0.735,1,,,
2,LA,3,2,0.721,1,,,
2,LA,3,3,0.731,1,,,
2,LA,4,1,0.736,1,,,
2,LA,4,2,0.699,1,,,
2,LA,4,3,0.675,1,,,
2,LA,5,1,0.726,1,,,
2,LA,5,2,0.731,1,,,
2,LA,5,3,0.737,1,,,
2,LA,6,1,0.746,1,,,
2,LA,6,2,0.705,1,,,
2,LA,6,3,0.748,1,,,
2,LA,7,1,0.675,1,,,
2,LA,7,2,0.766,1,,,
2,LA,7,3,0.736,1,,,
2,LA,8,1,0.791,1,,,
2,LA,8,2,0.732,1,,,
2,LA,8,3,0.787,1,,,
2,LA,9,1,0.798,1,,,
2,LA,9,2,0.796,1,,,
2,LA,9,3,0.765,1,,,
2,LA,10,1,0.74,1,,,
2,LA,10,2,0.706,1,,,
2,LA,10,3,0.794,1,,,
2,CE,1,1,0.784,1,,,
2,CE,1,2,0.783,1,,,
2,CE,1,3,0.769,1,,,
2,CE,2,1,0.781,1,,,
2,CE,2,2,0.78,1,,,
2,CE,2,3,0.769,1,,,
2,CE,3,1,0.78,1,,,
2,CE,3,2,0.778,1,,,
2,CE,3,3,0.774,1,,,
2,CE,4,1,0.71,1,,,
2,CE,4,2,0.755,1,,,
2,CE,4,3,0.728,1,,,
2,CE,5,1,0.794,1,,,
2,CE,5,2,0.794,1,,,
2,CE,5,3,0.779,1,,,
2,CE,6,1,0.775,1,,,
2,CE,6,2,0.764,1,,,
2,CE,6,3,0.77,1,,,
2,CE,7,1,0.79,1,,,
2,CE,7,2,0.797,1,,,
2,CE,7,3,0.764,1,,,
2,CE,8,1,0.776,1,,,
2,CE,8,2,0.754,1,,,
2,CE,8,3,0.811,1,,,
2,CE,9,1,0.79,1,,,
2,CE,9,2,0.76,1,,,
2,CE,9,3,0.797,1,,,
2,CE,10,1,0.756,1,,,
2,CE,10,2,0.789,1,,,
2,CE,10,3,0.745,1,,,
2,RE,1,1,0.768,1,,,
2,RE,1,2,0.796,1,,,
2,RE,1,3,0.777,1,,,
2,RE,2,1,0.757,1,,,
2,RE,2,2,0.762,1,,,
2,RE,2,3,0.668,1,,,
2,RE,3,1,0.753,1,,,
2,RE,3,2,0.801,1,,,
2,RE,3,3,0.689,1,,,
2,RE,4,1,0.778,1,,,
2,RE,4,2,0.778,1,,,
2,RE,4,3,0.792,1,,,
2,RE,5,1,0.79,1,,,
2,RE,5,2,0.788,1,,,
2,RE,5,3,0.78,1,,,
2,RE,6,1,0.725,1,,,
2,RE,6,2,0.707,1,,,
2,RE,6,3,0.706,1,,,
2,RE,7,1,0.758,1,,,
2,RE,7,2,0.769,1,,,
2,RE,7,3,0.79,1,,,
2,RE,8,1,0.762,1,,,
2,RE,8,2,0.794,1,,,
2,RE,8,3,0.755,1,,,
2,RE,9,1,0.762,1,,,
2,RE,9,2,0.789,1,,,
2,RE,9,3,0.783,1,,,
2,RE,10,1,0.783,1,,,
2,RE,10,2,0.778,1,,,
2,RE,10,3,0.759,1,,,
2,NA,1,1,0.821,1,,,
3,NA,1,2,0.754,1,,,
3,NA,1,3,0.736,1,,,
3,NA,2,1,0.784,1,,,
3,NA,2,2,0.771,1,,,
3,NA,2,3,0.749,1,,,
3,NA,3,1,0.711,1,,,
3,NA,3,2,0.759,1,,,
3,NA,3,3,0.732,1,,,
3,NA,4,1,0.789,1,,,
3,NA,4,2,0.767,1,,,
3,NA,4,3,0.744,1,,,
3,NA,5,1,0.735,1,,,
3,NA,5,2,0.737,1,,,
3,NA,5,3,0.768,1,,,
3,NA,6,1,0.763,1,,,
3,NA,6,2,0.729,1,,,
3,NA,6,3,0.763,1,,,
3,NA,7,1,0.818,1,,,
3,NA,7,2,0.741,1,,,
3,NA,7,3,0.745,1,,,
3,NA,8,1,0.735,1,,,
3,NA,8,2,0.75,1,,,
3,NA,8,3,0.78,1,,,
3,NA,9,1,0.777,1,,,
3,NA,9,2,0.725,1,,,
3,NA,9,3,0.752,1,,,
3,NA,10,1,0.777,1,,,
3,NA,10,2,0.77,1,,,
3,NA,10,3,0.759,1,,,
3,LA,1,1,0.743,1,,,
3,LA,1,2,0.751,1,,,
3,LA,1,3,0.791,1,,,
3,LA,2,1,0.785,1,,,
3,LA,2,2,0.823,1,,,
