plot,plant,leaf,FvFm,block,treatment
NA1,1,1,0.698,1,NoAdmixture
NA1,1,2,0.714,1,NoAdmixture
NA1,1,3,0.658,1,NoAdmixture
NA1,2,1,0.823,1,NoAdmixture
NA1,2,2,0.773,1,NoAdmixture
NA1,2,3,0.755,1,NoAdmixture
NA1,3,1,0.731,1,NoAdmixture
NA1,3,2,0.748,1,NoAdmixture
NA1,3,3,0.7,1,NoAdmixture
NA1,4,1,0.746,1,NoAdmixture
NA1,4,2,0.744,1,NoAdmixture
NA1,4,3,0.704,1,NoAdmixture
NA1,5,1,0.755,1,NoAdmixture
NA1,5,2,0.775,1,NoAdmixture
NA1,5,3,0.699,1,NoAdmixture
NA1,6,1,0.743,1,NoAdmixture
NA1,6,2,0.695,1,NoAdmixture
NA1,6,3,0.705,1,NoAdmixture
NA1,7,1,0.693,1,NoAdmixture
NA1,7,2,0.674,1,NoAdmixture
NA1,7,3,0.684,1,NoAdmixture
NA1,8,1,0.683,1,NoAdmixture
NA1,8,2,0.728,1,NoAdmixture
NA1,8,3,0.65,1,NoAdmixture
NA1,9,1,0.701,1,NoAdmixture
NA1,9,2,0.661,1,NoAdmixture
NA1,9,3,0.732,1,NoAdmixture
NA1,10,1,0.731,1,NoAdmixture
NA1,10,2,0.741,1,NoAdmixture
NA1,10,3,0.679,1,NoAdmixture
LA1,1,1,0.737,1,LocalAdmixture
LA1,1,2,0.743,1,LocalAdmixture
LA1,1,3,0.746,1,LocalAdmixture
LA1,2,1,0.728,1,LocalAdmixture
LA1,2,2,0.754,1,LocalAdmixture
LA1,2,3,0.73,1,LocalAdmixture
LA1,3,1,0.724,1,LocalAdmixture
LA1,3,2,0.709,1,LocalAdmixture
LA1,3,3,0.628,1,LocalAdmixture
LA1,4,1,0.772,1,LocalAdmixture
LA1,4,2,0.745,1,LocalAdmixture
LA1,4,3,0.78,1,LocalAdmixture
LA1,5,1,0.797,1,LocalAdmixture
LA1,5,2,0.789,1,LocalAdmixture
LA1,5,3,0.792,1,LocalAdmixture
LA1,6,1,0.78,1,LocalAdmixture
LA1,6,2,0.77,1,LocalAdmixture
LA1,6,3,0.774,1,LocalAdmixture
LA1,7,1,0.76,1,LocalAdmixture
LA1,7,2,0.69,1,LocalAdmixture
LA1,7,3,0.802,1,LocalAdmixture
LA1,8,1,0.661,1,LocalAdmixture
LA1,8,2,0.74,1,LocalAdmixture
LA1,8,3,0.755,1,LocalAdmixture
LA1,9,1,0.781,1,LocalAdmixture
LA1,9,2,0.775,1,LocalAdmixture
LA1,9,3,0.773,1,LocalAdmixture
LA1,10,1,0.803,1,LocalAdmixture
LA1,10,2,0.708,1,LocalAdmixture
LA1,10,3,0.787,1,LocalAdmixture
CE1,1,1,0.692,1,CoreEdge
CE1,1,2,0.675,1,CoreEdge
CE1,1,3,0.622,1,CoreEdge
CE1,2,1,0.702,1,CoreEdge
CE1,2,2,0.64,1,CoreEdge
CE1,2,3,0.612,1,CoreEdge
CE1,3,1,0.634,1,CoreEdge
CE1,3,2,0.648,1,CoreEdge
CE1,3,3,0.669,1,CoreEdge
CE1,4,1,0.704,1,CoreEdge
CE1,4,2,0.678,1,CoreEdge
CE1,4,3,0.692,1,CoreEdge
CE1,5,1,0.72,1,CoreEdge
CE1,5,2,0.714,1,CoreEdge
CE1,5,3,0.718,1,CoreEdge
CE1,6,1,0.755,1,CoreEdge
