plot,time,plant,leaf,FvFm
LA2,11am,1,1,0.773
LA2,11am,1,2,0.694
LA2,11am,2,1,0.748
LA2,11am,2,2,0.761
LA2,11am,3,1,0.637
LA2,11am,3,2,0.759
LA2,11am,4,1,0.616
LA2,11am,4,2,0.713
LA2,11am,5,1,0.753
LA2,11am,5,2,0.762
CE1,11am,1,1,0.755
CE1,11am,1,2,0.746
CE1,11am,2,1,0.728
CE1,11am,2,2,0.768
CE1,11am,3,1,0.745
CE1,11am,3,2,0.75
CE1,11am,4,1,0.76
CE1,11am,4,2,0.73
CE1,11am,5,1,0.734
CE1,11am,5,2,0.771
LA2,1pm,1,1,0.755
LA2,1pm,1,2,0.753
LA2,1pm,2,1,0.73
LA2,1pm,2,2,0.619
LA2,1pm,3,1,0.702
LA2,1pm,3,2,0.739
LA2,1pm,4,1,0.721
LA2,1pm,4,2,0.754
LA2,1pm,5,1,0.737
LA2,1pm,5,2,0.727
CE1,1pm,1,1,0.709
CE1,1pm,1,2,0.717
CE1,1pm,2,1,0.754
CE1,1pm,2,2,0.739
CE1,1pm,3,1,0.756
CE1,1pm,3,2,0.776
CE1,1pm,4,1,0.604
CE1,1pm,4,2,0.703
CE1,1pm,5,1,0.768
CE1,1pm,5,2,0.72
