Date,Plot,Seedlings,Total,,,,,
06/05/2025,NA1,4,9,,06/05/2025,NA1,4,9
06/05/2025,LA1,94,293,,20/05/2025,NA1,0,9
06/05/2025,CE1,10,26,,03/06/2025,NA1,18,27
06/05/2025,RE1,8,16,,18/06/2025,NA1,27,39
06/05/2025,NA2,36,185,,30/06/2025,NA1,4,35
06/05/2025,LA2,24,55,,06/05/2025,LA1,94,293
06/05/2025,CE2,16,66,,20/05/2025,LA1,28,345
06/05/2025,RE2,9,36,,03/06/2025,LA1,204,412
06/05/2025,NA3,29,337,,18/06/2025,LA1,235,512
06/05/2025,LA3,38,346,,30/06/2025,LA1,173,493
06/05/2025,CE3,32,302,,06/05/2025,CE1,10,26
06/05/2025,RE3,20,46,,20/05/2025,CE1,0,25
20/05/2025,NA1,0,9,,03/06/2025,CE1,29,53
20/05/2025,LA1,28,345,,18/06/2025,CE1,48,74
20/05/2025,CE1,0,25,,30/06/2025,CE1,14,68
20/05/2025,RE1,2,17,,06/05/2025,RE1,8,16
20/05/2025,NA2,2,195,,20/05/2025,RE1,2,17
20/05/2025,LA2,4,66,,03/06/2025,RE1,24,41
20/05/2025,CE2,2,68,,18/06/2025,RE1,63,85
20/05/2025,RE2,0,44,,30/06/2025,RE1,31,92
20/05/2025,NA3,9,288,,06/05/2025,NA2,36,185
20/05/2025,LA3,16,285,,20/05/2025,NA2,2,195
20/05/2025,CE3,13,262,,03/06/2025,NA2,188,338
20/05/2025,RE3,2,47,,18/06/2025,NA2,140,314
03/06/2025,NA1,18,27,,30/06/2025,NA2,127,300
03/06/2025,LA1,204,412,,06/05/2025,LA2,24,55
03/06/2025,CE1,29,53,,20/05/2025,LA2,4,66
03/06/2025,RE1,24,41,,03/06/2025,LA2,161,217
03/06/2025,NA2,188,338,,18/06/2025,LA2,131,196
03/06/2025,LA2,161,217,,30/06/2025,LA2,48,153
03/06/2025,CE2,119,170,,06/05/2025,CE2,16,66
03/06/2025,RE2,93,136,,20/05/2025,CE2,2,68
03/06/2025,NA3,278,535,,03/06/2025,CE2,119,170
03/06/2025,LA3,141,414,,18/06/2025,CE2,141,193
03/06/2025,CE3,208,453,,30/06/2025,CE2,68,136
03/06/2025,RE3,52,90,,06/05/2025,RE2,9,36
18/06/2025,NA1,27,39,,20/05/2025,RE2,0,44
18/06/2025,LA1,235,512,,03/06/2025,RE2,93,136
18/06/2025,CE1,48,74,,18/06/2025,RE2,78,121
18/06/2025,RE1,63,85,,30/06/2025,RE2,71,144
18/06/2025,NA2,140,314,,06/05/2025,NA3,29,337
18/06/2025,LA2,131,196,,20/05/2025,NA3,9,288
18/06/2025,CE2,141,193,,03/06/2025,NA3,278,535
18/06/2025,RE2,78,121,,18/06/2025,NA3,295,617
18/06/2025,NA3,295,617,,30/06/2025,NA3,127,470
18/06/2025,LA3,168,444,,06/05/2025,LA3,38,346
18/06/2025,CE3,345,607,,20/05/2025,LA3,16,285
18/06/2025,RE3,97,134,,03/06/2025,LA3,141,414
30/06/2025,NA1,4,35,,18/06/2025,LA3,168,444
30/06/2025,LA1,173,493,,30/06/2025,LA3,103,443
30/06/2025,CE1,14,68,,06/05/2025,CE3,32,302
30/06/2025,RE1,31,92,,20/05/2025,CE3,13,262
30/06/2025,NA2,127,300,,03/06/2025,CE3,208,453
30/06/2025,LA2,48,153,,18/06/2025,CE3,345,607
30/06/2025,CE2,68,136,,30/06/2025,CE3,145,434
30/06/2025,RE2,71,144,,06/05/2025,RE3,20,46
30/06/2025,NA3,127,470,,20/05/2025,RE3,2,47
30/06/2025,LA3,103,443,,03/06/2025,RE3,52,90
30/06/2025,CE3,145,434,,18/06/2025,RE3,97,134
30/06/2025,RE3,37,135,,30/06/2025,RE3,37,135
