Date (year-month-day),Plot,Plant,Height,Block,Treatment,Crowd
10/07/2025,NA1,1,602,1,NoAdmixture,35
10/07/2025,NA1,2,556,1,NoAdmixture,35
10/07/2025,NA1,3,562,1,NoAdmixture,35
10/07/2025,NA1,4,684,1,NoAdmixture,35
10/07/2025,NA1,5,691,1,NoAdmixture,35
10/07/2025,NA1,6,620,1,NoAdmixture,35
10/07/2025,NA1,7,579,1,NoAdmixture,35
10/07/2025,NA1,8,610,1,NoAdmixture,35
10/07/2025,LA1,9,598,1,LocalAdmixture,493
10/07/2025,LA1,10,597,1,LocalAdmixture,493
10/07/2025,LA1,11,362,1,LocalAdmixture,493
10/07/2025,LA1,12,441,1,LocalAdmixture,493
10/07/2025,LA1,13,491,1,LocalAdmixture,493
10/07/2025,LA1,14,421,1,LocalAdmixture,493
10/07/2025,LA1,15,481,1,LocalAdmixture,493
10/07/2025,LA1,16,494,1,LocalAdmixture,493
10/07/2025,LA1,17,372,1,LocalAdmixture,493
10/07/2025,LA1,18,379,1,LocalAdmixture,493
10/07/2025,LA1,19,490,1,LocalAdmixture,493
10/07/2025,LA1,20,491,1,LocalAdmixture,493
10/07/2025,LA1,21,412,1,LocalAdmixture,493
10/07/2025,LA1,22,561,1,LocalAdmixture,493
10/07/2025,LA1,23,482,1,LocalAdmixture,493
10/07/2025,LA1,24,411,1,LocalAdmixture,493
10/07/2025,LA1,25,376,1,LocalAdmixture,493
10/07/2025,LA1,26,581,1,LocalAdmixture,493
10/07/2025,LA1,27,362,1,LocalAdmixture,493
10/07/2025,LA1,28,472,1,LocalAdmixture,493
10/07/2025,LA1,29,306,1,LocalAdmixture,493
10/07/2025,LA1,30,442,1,LocalAdmixture,493
10/07/2025,LA1,31,385,1,LocalAdmixture,493
10/07/2025,LA1,32,476,1,LocalAdmixture,493
10/07/2025,LA1,33,482,1,LocalAdmixture,493
10/07/2025,LA1,34,421,1,LocalAdmixture,493
10/07/2025,LA1,35,398,1,LocalAdmixture,493
10/07/2025,LA1,36,498,1,LocalAdmixture,493
10/07/2025,LA1,37,491,1,LocalAdmixture,493
10/07/2025,LA1,38,439,1,LocalAdmixture,493
10/07/2025,CE1,39,544,1,CoreEdge,68
10/07/2025,CE1,40,651,1,CoreEdge,68
10/07/2025,CE1,41,542,1,CoreEdge,68
10/07/2025,CE1,42,596,1,CoreEdge,68
10/07/2025,CE1,43,568,1,CoreEdge,68
10/07/2025,CE1,44,572,1,CoreEdge,68
10/07/2025,CE1,45,480,1,CoreEdge,68
10/07/2025,CE1,46,612,1,CoreEdge,68
10/07/2025,CE1,47,565,1,CoreEdge,68
10/07/2025,CE1,48,711,1,CoreEdge,68
10/07/2025,CE1,49,600,1,CoreEdge,68
10/07/2025,CE1,50,581,1,CoreEdge,68
10/07/2025,CE1,51,601,1,CoreEdge,68
10/07/2025,CE1,52,521,1,CoreEdge,68
10/07/2025,CE1,53,640,1,CoreEdge,68
10/07/2025,CE1,54,641,1,CoreEdge,68
10/07/2025,CE1,55,629,1,CoreEdge,68
10/07/2025,CE1,56,649,1,CoreEdge,68
10/07/2025,CE1,57,622,1,CoreEdge,68
10/07/2025,CE1,58,491,1,CoreEdge,68
10/07/2025,CE1,59,565,1,CoreEdge,68
10/07/2025,CE1,60,359,1,CoreEdge,68
10/07/2025,CE1,61,526,1,CoreEdge,68
10/07/2025,CE1,62,276,1,CoreEdge,68
10/07/2025,RE1,63,679,1,RefugiumEdge,92
10/07/2025,RE1,64,700,1,RefugiumEdge,92
10/07/2025,RE1,65,501,1,RefugiumEdge,92
10/07/2025,RE1,66,632,1,RefugiumEdge,92
10/07/2025,RE1,67,600,1,RefugiumEdge,92
10/07/2025,RE1,68,635,1,RefugiumEdge,92
10/07/2025,RE1,69,750,1,RefugiumEdge,92
10/07/2025,RE1,70,602,1,RefugiumEdge,92
10/07/2025,RE1,71,598,1,RefugiumEdge,92
10/07/2025,RE1,72,411,1,RefugiumEdge,92
10/07/2025,RE1,73,589,1,RefugiumEdge,92
10/07/2025,RE1,74,578,1,RefugiumEdge,92
10/07/2025,RE1,75,671,1,RefugiumEdge,92
10/07/2025,RE1,76,629,1,RefugiumEdge,92
10/07/2025,RE1,77,587,1,RefugiumEdge,92
10/07/2025,RE1,78,661,1,RefugiumEdge,92
10/07/2025,NA2,79,415,2,NoAdmixture,300
10/07/2025,NA2,80,359,2,NoAdmixture,300
